date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:58	108/108	---MCZ	200	added ('OK')	text/plain	etag:%221543-1704996072;gz%22	https://amtar.store/robots.txt		(from )
23:18:58	96501/96501	---M-Z	200	added ('OK')	text/html	etag:%221544-1704996074;gz%22	https://amtar.store/	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/index.html	(from )
23:18:59	117332/117332	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Dec%202023%2019:44:16%20GMT	https://amtar.store/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.3	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/plugins/elementor/assets/css/frontend-lite.minf3b2.css	(from https://amtar.store/)
23:19:00	16471/16471	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2015:22:46%20GMT	https://amtar.store/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://amtar.store/)
23:19:00	1168/1168	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2008:15:23%20GMT	https://amtar.store/wp-content/uploads/elementor/css/post-8.css?ver=1703232923	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/elementor/css/post-89a49.css	(from https://amtar.store/)
23:19:00	9055/9055	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2016:18:11%20GMT	https://amtar.store/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.12.2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/plugins/elementor-pro/assets/css/frontend-lite.mine56c.css	(from https://amtar.store/)
23:19:00	40207/40207	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2008:15:24%20GMT	https://amtar.store/wp-content/uploads/elementor/css/global.css?ver=1703232924	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/elementor/css/global136a.css	(from https://amtar.store/)
23:19:01	1634/1634	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5b3c7ba7b864398e9bd8980eb3d804f%22	https://amtar.store/comments/feed/	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/comments/feed/index.html	(from https://amtar.store/)
23:19:01	1647/1647	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f5b3c7ba7b864398e9bd8980eb3d804f%22	https://amtar.store/feed/	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/feed/index.html	(from https://amtar.store/)
23:19:01	32637/32637	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2008:15:25%20GMT	https://amtar.store/wp-content/uploads/elementor/css/post-10.css?ver=1703232925	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/elementor/css/post-105a86.css	(from https://amtar.store/)
23:19:02	60669/60669	---MC-	200	added ('OK')	application/json	etag:%221575-1705097942;;;%22	https://amtar.store/wp-json/wp/v2/pages/10	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/wp/v2/pages/10.json	(from https://amtar.store/)
23:19:02	780/780	---M-Z	200	added ('OK')	text/xml	date:Fri,%2012%20Jan%202024%2022:19:03%20GMT	https://amtar.store/xmlrpc.php?rsd	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/xmlrpc0db0.php	(from https://amtar.store/)
23:19:02	192824/192824	---MC-	200	added ('OK')	application/json	etag:%221574-1705097942;;;%22	https://amtar.store/wp-json/	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/index.html	(from https://amtar.store/)
